date,open,close,high,low,ret_pct,range_pct,first30_range_pct,rv_bp_1m,trend_score,mr_swings_5m,pnl,wins,losses,entries,exits
2026-03-09,664.03,678.31,679.92,663.98,2.150505248256852,2.4004939535864254,0.6520789723355763,4.911481067577921,0.8958594730238411,24,-64.3806,8,12,25,20
2026-03-10,677.64,677.07,683.36,676.23,-0.08411545953602745,1.0521810991086706,0.5209255651968556,4.40875317114936,0.07994389901822394,28,-399.7342,3,11,15,14
2026-03-11,676.14,676.35,678.64,673.34,0.031058656491264585,0.783861330493678,0.4703167982962035,3.695458418860293,0.03962264150944116,37,-317.646,4,8,13,12
2026-03-12,668.06,666.05,671.31,665.9027,-0.3008711792353967,0.8094033470047547,0.4866329371613463,4.886219274590378,0.37171971224086037,36,8.8826,7,7,14,14
2026-03-13,668.87,662.3,670.23,661.36,-0.9822536516812012,1.3261171827111404,0.7834108272160523,4.438199226893235,0.7406989853438609,34,172.5925,13,7,21,20
2026-03-16,670.27,668.96,672.07,667.12,-0.19544362719500283,0.7385083623017658,0.41401226371461913,3.793457310132915,0.2646464646464512,29,-241.0826,2,9,13,11
2026-03-17,672.57,670.73,673.47,669.7,-0.27357747148996114,0.5605364497375711,0.19774893319655065,2.76878502503061,0.48806366047746436,31,14.5154,5,4,13,9
2026-03-18,665.97,661.51,668,661.19,-0.6696998363289691,1.02256858417045,0.22448458639278113,3.563275549125636,0.6549192364170444,33,-89.3076,4,7,15,11
2026-03-19,656.34,659.735,662.98,655.61,0.5172623944906575,1.1228936222080026,0.4272176006338138,5.128659227087379,0.4606512890094952,31,92.4703,6,4,12,10
2026-03-20,651.86,648.54,654.16,644.72,-0.5093118154204967,1.4481637161353573,0.3528364986346692,4.485849973909304,0.3516949152542448,38,-17.4173,9,8,18,17
2026-03-23,660.98,655.375,662.615,653.94,-0.8479832975279158,1.3124451571908309,0.2798874398620093,4.401577567530116,0.6461095100864608,33,21.2459,4,3,10,7
2026-03-24,652.51,653.2,657.03,651.22,0.10574550581601118,0.8904078098419863,0.7233605615239656,4.776570033163007,0.11876075731498469,31,-168.2806,5,10,15,15
2026-03-25,658.16,656.74,659.38,654.24,-0.21575300838701214,0.7809651148656841,0.2431019812811509,3.6782173176831496,0.27626459143968146,35,116.1193,7,6,13,13
2026-03-26,653.62,645.095,654.85,644.82,-1.3042746549983137,1.5345307671123853,0.6165662005446548,2.7966631542195177,0.849950149551346,39,126.5564,13,7,21,20
2026-03-27,639.1,634.08,642.14,633.105,-0.7854795806603007,1.4137067751525532,0.35800344234079345,3.7178015537099793,0.5556170448256779,30,-91.2058,6,9,16,15
2026-03-30,635.85,632.02,638.8,629.28,-0.6023433199654071,1.49720846111504,0.4482189195565027,3.4954797343871205,0.40231092436975296,30,-113.2807,10,12,22,22
2026-03-31,642.48,650.235,651.54,637.98,1.207041464325737,2.1105715353007013,0.7268708753579814,5.556416890585786,0.5719026548672586,39,244.2976,15,9,29,24
2026-04-01,655.03,655.17,658.52,653.58,0.021373066882430784,0.7541639314229792,0.49921377646825066,2.7986628982044275,0.028340080971657498,32,-162.828,3,8,11,11
2026-04-02,650.35,655.88,658.2,650.1,0.8503113708003341,1.245483201353121,1.245483201353121,5.515660112640853,0.6827160493827108,34,434.8942,12,4,18,16
2026-04-06,658.43,658.87,659.06,655.52,0.06682563066689771,0.5376425740017866,0.37057849733455966,2.8167315675989375,0.12429378531075115,22,8.1848,5,9,16,14
2026-04-07,654.45,659.27,659.61,651.06,0.7364962945985081,1.3064405225762192,0.42631217052488,4.586785344835872,0.5637426900584676,25,-70.4052,8,9,18,17
